Time,Close,Open,High,Low,Body,UpperWick,LowerWick,Range,C1,H1,L1,B1,C2,H2,L2,B2,C3,H3,L3,B3,C4,H4,L4,B4,C5,H5,L5,B5,EMA9,EMA21,EMA50,EMA200,FastSlope,SlopeAccel,TrendUp,TrendDown,DistEMA200,Mom,ADX,ATR,BBWidth,Vol,VolSMA,VolNorm,VolPressure,LocalHigh10,LocalLow10,DistLocalHigh10,DistLocalLow10,SweepUp,SweepDown,IsTradeBar,IsLong,IsShort,BarsSinceEntry
2026-02-16 09:41:00,6896.0,6894.5,6896.25,6894.5,1.5,0.25,0.0,1.75,6894.5,6895.0,6893.5,0.5,6894.0,6894.75,6893.0,-0.5,6894.5,6896.0,6894.25,-0.25,6894.75,6895.5,6894.0,-0.5,6895.25,6897.5,6894.25,-0.75,6895.90729515842,6898.81959275434,6902.59615674353,6906.57707035354,-0.880390697867369,0.369205947400587,0,1,-42.3082814141671,-5.0,43.531500545447,2.25016327336042,14.3641045665918,513,424.75,1.20776927604473,1.20776927604473,6900.25,6893.0,-17,12,0,0,0,0,0,0
2026-02-16 09:42:00,6896.0,6896.0,6896.75,6895.25,0.0,0.75,0.75,1.5,6896.0,6896.25,6894.5,1.5,6894.5,6895.0,6893.5,0.5,6894.0,6894.75,6893.0,-0.5,6894.5,6896.0,6894.25,-0.25,6894.75,6895.5,6894.0,-0.5,6895.92583612674,6898.56326614031,6902.33748393005,6906.47182587241,-0.304312558294441,-0.0046352420786206,0,1,-41.8873034896496,-6.25,42.7237435338895,2.1965801824061,13.5730431370412,341,405.6,0.840729783037475,-0.840729783037475,6899.75,6893.0,-15,12,0,0,0,0,0,0
2026-02-16 09:43:00,6895.5,6896.0,6896.5,6895.0,-0.5,0.5,0.5,1.5,6896.0,6896.75,6895.25,0.0,6896.0,6896.25,6894.5,1.5,6894.5,6895.0,6893.5,0.5,6894.0,6894.75,6893.0,-0.5,6894.5,6896.0,6894.25,-0.25,6895.84066890139,6898.28478740028,6902.06934730535,6906.36265347567,-0.0434500466353711,-0.103708193662897,0,1,-43.4506139026889,-6.0,42.0811803852852,2.14682445509138,13.1121127206861,211,381.8,0.552645364064955,-0.552645364064955,6898.0,6893.0,-10,10,0,0,0,0,0,0
2026-02-16 09:44:00,6895.75,6895.75,6896.75,6895.0,0.0,1.0,0.75,1.75,6895.5,6896.5,6895.0,-0.5,6896.0,6896.75,6895.25,0.0,6896.0,6896.25,6894.5,1.5,6894.5,6895.0,6893.5,0.5,6894.0,6894.75,6893.0,-0.5,6895.82253512111,6898.05435218207,6901.82152976396,6906.25705493363,-0.084760037308115,0.0670334450687733,0,1,-42.0282197345041,-3.75,41.2614365643573,2.11847985115628,11.9309471543547,311,384.45,0.808947847574457,-0.808947847574457,6897.5,6893.0,-7,11,0,0,0,0,0,0
2026-02-16 09:45:00,6893.5,6895.5,6895.5,6893.25,-2.0,0.0,0.25,2.25,6895.75,6896.75,6895.0,0.0,6895.5,6896.5,6895.0,-0.5,6896.0,6896.75,6895.25,0.0,6896.0,6896.25,6894.5,1.5,6894.5,6895.0,6893.5,0.5,6895.35802809689,6897.64032016552,6901.49519526341,6906.13011906364,-0.567808029846674,-0.446373243944436,0,1,-50.5204762545582,-6.75,41.2422734706676,2.14573129035941,11.3599075700458,525,396.15,1.32525558500568,-1.32525558500568,6897.5,6893.0,-16,2,0,0,0,0,0,0
2026-02-16 09:46:00,6895.75,6893.75,6896.0,6892.5,2.0,0.25,1.25,3.5,6893.5,6895.5,6893.25,-2.0,6895.75,6896.75,6895.0,0.0,6895.5,6896.5,6895.0,-0.5,6896.0,6896.75,6895.25,0.0,6896.0,6896.25,6894.5,1.5,6895.43642247751,6897.46847287775,6901.26989348838,6906.02683429684,-0.404246423878249,0.542901404844088,0,1,-41.1073371873499,-2.0,41.4968657672888,2.24246476961945,10.4933312155863,616,410.35,1.50115754843426,1.50115754843426,6896.75,6892.5,-4,13,0,0,0,0,0,0
2026-02-16 09:47:00,6895.0,6895.5,6896.5,6894.5,-0.5,1.0,0.5,2.0,6895.75,6896.0,6892.5,2.0,6893.5,6895.5,6893.25,-2.0,6895.75,6896.75,6895.0,0.0,6895.5,6896.5,6895.0,-0.5,6896.0,6896.75,6895.25,0.0,6895.34913798201,6897.2440662525,6901.02401531236,6905.91711455259,-0.473397139102417,-0.16567887612382,0,1,-43.6684582103626,-3.0,41.2746371965851,2.22514585750377,9.86863719061512,354,413.25,0.856624319419238,-0.856624319419238,6896.75,6892.5,-7,10,0,0,0,0,0,0
2026-02-16 09:48:00,6898.25,6895.0,6898.75,6895.0,3.25,0.5,0.0,3.75,6895.0,6896.5,6894.5,-0.5,6895.75,6896.0,6892.5,2.0,6893.5,6895.5,6893.25,-2.0,6895.75,6896.75,6895.0,0.0,6895.5,6896.5,6895.0,-0.5,6895.92931038561,6897.335514775,6900.91523039815,6905.84082485555,0.571282288718066,0.667456899100216,0,1,-30.3632994221989,3.75,39.3199136309852,2.33406401053922,8.53873526934694,605,429.05,1.41009206386202,1.41009206386202,6898.75,6892.5,-2,23,0,0,0,0,0,0
2026-02-16 09:49:00,6899.0,6897.75,6899.75,6897.0,1.25,0.75,0.75,2.75,6898.25,6898.75,6895.0,3.25,6895.0,6896.5,6894.5,-0.5,6895.75,6896.0,6892.5,2.0,6893.5,6895.5,6893.25,-2.0,6895.75,6896.75,6895.0,0.0,6896.54344830849,6897.48683161363,6900.84012332372,6905.77275694654,1.10702583097554,0.0339655192810824,0,1,-27.0910277861585,2.75,36.8697644606277,2.36377372407213,7.54718490564483,585,445.1,1.31431139069872,1.31431139069872,6899.75,6892.5,-3,26,0,0,0,0,0,0
2026-02-16 09:50:00,6899.75,6899.0,6899.75,6897.75,0.75,0.0,1.25,2.0,6899.0,6899.75,6897.0,1.25,6898.25,6898.75,6895.0,3.25,6895.0,6896.5,6894.5,-0.5,6895.75,6896.0,6892.5,2.0,6893.5,6895.5,6893.25,-2.0,6897.18475864679,6897.69257419421,6900.79737338945,6905.71282901672,1.83562066478044,0.0271724154235926,0,1,-23.8513160668954,4.5,34.5946259452958,2.33778988663841,7.63724426740373,348,446.4,0.779569892473118,0.779569892473118,6899.75,6892.5,0,29,0,0,0,0,0,0
